note_id,application_id,creation_date,note_text
309,184725,2020-05-07,Note text 309
310,93100,2022-12-20,Note text 310
311,106943,2020-07-26,Note text 311
312,479760,2022-09-09,Note text 312
313,197978,2022-08-26,Note text 313
314,102679,2023-08-04,Note text 314
315,144933,2020-02-03,Note text 315
316,3260,2021-10-20,Note text 316
317,291051,2022-10-23,Note text 317
318,281946,2020-10-26,Note text 318
319,173587,2021-11-04,Note text 319
320,21305,2022-05-15,Note text 320
321,227780,2022-02-21,Note text 321
322,275086,2021-12-20,Note text 322
323,172233,2020-08-04,Note text 323
324,202108,2022-05-26,Note text 324
325,412759,2020-03-18,Note text 325
326,37397,2022-11-26,Note text 326
327,397621,2021-09-08,Note text 327
328,9780,2023-07-04,Note text 328
329,54594,2023-07-05,Note text 329
330,41218,2020-01-25,Note text 330
331,67491,2023-02-17,Note text 331
332,394037,2023-09-29,Note text 332
333,416890,2022-07-31,Note text 333
334,332164,2021-08-26,Note text 334
335,294455,2022-01-05,Note text 335
336,245150,2023-09-01,Note text 336
337,58064,2022-08-31,Note text 337
338,257353,2021-01-17,Note text 338
339,52581,2023-07-30,Note text 339
340,45183,2023-10-14,Note text 340
341,121952,2023-01-07,Note text 341
342,466576,2020-04-27,Note text 342
343,376580,2021-04-04,Note text 343
344,233894,2020-09-04,Note text 344
345,43006,2021-10-27,Note text 345
346,318467,2020-09-14,Note text 346
347,290247,2021-09-08,Note text 347
348,317638,2023-08-18,Note text 348
349,482225,2023-11-03,Note text 349
350,26498,2023-07-28,Note text 350
351,325636,2020-06-07,Note text 351
352,44156,2021-10-28,Note text 352
353,234763,2021-02-27,Note text 353
354,6721,2020-07-06,Note text 354
355,96622,2022-01-27,Note text 355
356,31574,2022-12-16,Note text 356
357,377879,2022-04-12,Note text 357
358,403802,2020-11-21,Note text 358
359,177192,2021-07-06,Note text 359
360,431869,2023-09-20,Note text 360
361,235736,2023-04-09,Note text 361
362,265398,2020-07-02,Note text 362
363,421265,2021-04-06,Note text 363
364,235456,2020-01-23,Note text 364
365,395696,2020-06-05,Note text 365
366,197375,2023-03-19,Note text 366
367,168613,2020-08-17,Note text 367
368,489109,2021-02-10,Note text 368
369,150896,2022-05-04,Note text 369
370,232245,2020-02-20,Note text 370
371,415303,2020-03-04,Note text 371
372,218905,2020-08-26,Note text 372
373,394695,2020-01-04,Note text 373
374,87243,2023-06-07,Note text 374
375,11404,2023-06-22,Note text 375
376,5915,2020-11-25,Note text 376
377,142515,2022-07-12,Note text 377
378,103899,2022-08-19,Note text 378
379,224805,2023-09-20,Note text 379
380,330427,2020-03-18,Note text 380
381,485570,2021-06-20,Note text 381
382,43055,2020-07-30,Note text 382
383,457813,2022-01-02,Note text 383
384,111029,2020-05-27,Note text 384
385,22128,2023-03-19,Note text 385
386,302903,2022-12-12,Note text 386
387,7068,2023-08-17,Note text 387
388,201198,2023-11-03,Note text 388
389,260387,2022-08-12,Note text 389
390,110790,2022-05-04,Note text 390
391,410087,2023-06-27,Note text 391
392,429070,2023-11-01,Note text 392
393,303,2021-01-10,Note text 393
394,143005,2021-06-05,Note text 394
395,436980,2021-10-03,Note text 395
396,482511,2023-02-15,Note text 396
397,130083,2020-11-22,Note text 397
398,87732,2023-08-31,Note text 398
399,394615,2021-05-27,Note text 399
400,160318,2021-02-01,Note text 400
401,447011,2023-02-07,Note text 401
402,411783,2022-09-14,Note text 402
403,337247,2022-01-06,Note text 403
404,229086,2020-08-16,Note text 404
405,434166,2021-03-25,Note text 405
406,51985,2020-02-07,Note text 406
407,19858,2020-07-14,Note text 407
408,164269,2021-11-24,Note text 408
409,406210,2020-11-18,Note text 409
410,193041,2022-06-22,Note text 410
411,41044,2020-09-15,Note text 411
412,142136,2022-09-05,Note text 412
413,6845,2023-06-05,Note text 413
414,75312,2020-09-30,Note text 414
415,337923,2023-05-01,Note text 415
416,63066,2020-08-09,Note text 416
417,22860,2022-09-26,Note text 417
418,255649,2020-07-19,Note text 418
419,386126,2020-06-06,Note text 419
420,410327,2021-02-02,Note text 420
421,335916,2022-11-16,Note text 421
422,148048,2023-01-08,Note text 422
423,60752,2023-03-04,Note text 423
424,325649,2022-05-05,Note text 424
425,317230,2022-05-30,Note text 425
426,192359,2023-09-11,Note text 426
427,239053,2020-06-10,Note text 427
428,60952,2021-06-07,Note text 428
429,488400,2021-03-18,Note text 429
430,482361,2023-09-29,Note text 430
431,208256,2021-03-13,Note text 431
432,443405,2022-03-12,Note text 432
433,421291,2020-03-24,Note text 433
434,496953,2020-11-19,Note text 434
435,83708,2020-03-30,Note text 435
436,394927,2021-10-15,Note text 436
437,402903,2020-06-06,Note text 437
438,312505,2021-07-02,Note text 438
439,409917,2023-03-01,Note text 439
440,298979,2020-09-28,Note text 440
441,61715,2021-08-27,Note text 441
442,103053,2023-08-22,Note text 442
443,106848,2022-01-11,Note text 443
444,82407,2021-12-07,Note text 444
445,393676,2020-11-04,Note text 445
446,127041,2022-02-13,Note text 446
447,196733,2022-09-22,Note text 447
448,358766,2021-08-08,Note text 448
449,39563,2023-06-03,Note text 449
450,427588,2020-05-26,Note text 450
451,331416,2021-01-22,Note text 451
452,461362,2021-05-28,Note text 452
453,12103,2020-11-03,Note text 453
454,348185,2020-01-06,Note text 454
455,82793,2022-01-13,Note text 455
456,321255,2020-09-11,Note text 456
457,493330,2022-01-12,Note text 457
458,259021,2020-10-18,Note text 458
459,13316,2021-12-11,Note text 459
460,41816,2023-10-25,Note text 460
461,153732,2020-04-22,Note text 461
462,201431,2023-05-20,Note text 462
463,173916,2021-08-13,Note text 463
464,473061,2020-01-05,Note text 464
465,338019,2021-10-28,Note text 465
466,23118,2021-03-10,Note text 466
467,263598,2023-09-03,Note text 467
468,187109,2023-02-26,Note text 468
469,270196,2020-08-14,Note text 469
470,302261,2022-08-10,Note text 470
471,418086,2023-02-10,Note text 471
472,253944,2022-02-27,Note text 472
473,139814,2020-01-17,Note text 473
474,357661,2020-02-17,Note text 474
475,493459,2023-06-23,Note text 475
476,311170,2022-10-04,Note text 476
477,123346,2020-09-05,Note text 477
478,360805,2020-06-05,Note text 478
479,261384,2023-02-21,Note text 479
480,22665,2023-04-14,Note text 480
481,199314,2020-01-18,Note text 481
482,391047,2023-03-05,Note text 482
483,480831,2023-09-26,Note text 483
484,175122,2022-09-19,Note text 484
485,17700,2021-07-11,Note text 485
486,79099,2022-01-29,Note text 486
487,425221,2020-11-09,Note text 487
488,462489,2021-09-14,Note text 488
489,344086,2021-11-01,Note text 489
490,60054,2023-11-09,Note text 490
491,164080,2023-07-10,Note text 491
492,328243,2020-01-27,Note text 492
493,213305,2023-03-17,Note text 493
494,8489,2021-10-25,Note text 494
495,51261,2021-11-29,Note text 495
496,346678,2023-06-01,Note text 496
497,358459,2022-11-06,Note text 497
498,476909,2023-12-16,Note text 498
499,169344,2020-05-05,Note text 499
500,5421,2022-05-29,Note text 500
501,87823,2021-08-19,Note text 501
502,260257,2021-10-04,Note text 502
503,299389,2022-11-30,Note text 503
504,83726,2023-04-29,Note text 504
505,304526,2023-09-07,Note text 505
506,70848,2022-02-19,Note text 506
507,289372,2021-02-14,Note text 507
508,140332,2021-11-20,Note text 508
509,139896,2023-04-28,Note text 509
510,286821,2022-08-26,Note text 510
511,315775,2021-09-28,Note text 511
512,349438,2022-12-24,Note text 512
513,411600,2021-03-19,Note text 513
514,278450,2023-07-11,Note text 514
515,404140,2021-02-03,Note text 515
516,68184,2020-09-13,Note text 516
517,246731,2022-09-30,Note text 517
518,392610,2020-07-23,Note text 518
519,328608,2022-01-21,Note text 519
520,401604,2023-11-18,Note text 520
521,54794,2022-10-03,Note text 521
522,50810,2022-08-02,Note text 522
523,328801,2023-08-15,Note text 523
524,102475,2021-12-30,Note text 524
525,131692,2021-05-18,Note text 525
526,486289,2022-07-25,Note text 526
527,311929,2022-05-23,Note text 527
528,2081,2021-05-07,Note text 528
529,453974,2020-01-28,Note text 529
530,48784,2022-03-21,Note text 530
531,288473,2023-12-16,Note text 531
532,383009,2022-03-04,Note text 532
533,441075,2020-02-07,Note text 533
534,122512,2021-02-19,Note text 534
535,414609,2022-11-10,Note text 535
536,2929,2022-07-01,Note text 536
537,288581,2023-03-03,Note text 537
538,311009,2023-01-25,Note text 538
539,250714,2020-06-20,Note text 539
540,305098,2022-02-10,Note text 540
541,377970,2022-06-15,Note text 541
542,211010,2020-11-04,Note text 542
543,30881,2020-09-27,Note text 543
544,184975,2022-06-23,Note text 544
545,488231,2020-10-28,Note text 545
546,305206,2020-02-03,Note text 546
547,329424,2022-03-04,Note text 547
548,115814,2021-03-29,Note text 548
549,299948,2020-01-31,Note text 549
550,137193,2020-09-10,Note text 550
551,480441,2021-09-15,Note text 551
552,158563,2023-07-13,Note text 552
553,313752,2021-06-15,Note text 553
554,465110,2020-12-11,Note text 554
555,463153,2022-07-08,Note text 555
556,201342,2020-11-14,Note text 556
557,311473,2022-07-05,Note text 557
558,295498,2021-06-18,Note text 558
559,296966,2022-12-08,Note text 559
560,254980,2020-02-14,Note text 560
561,258457,2021-01-28,Note text 561
562,217505,2021-04-07,Note text 562
563,197977,2022-01-05,Note text 563
564,170440,2021-11-02,Note text 564
565,289461,2022-02-03,Note text 565
566,55273,2023-11-16,Note text 566
567,182250,2021-02-12,Note text 567
568,212374,2020-12-11,Note text 568
569,165122,2020-03-05,Note text 569
570,408691,2021-09-30,Note text 570
571,440299,2022-06-07,Note text 571
572,241886,2023-01-24,Note text 572
573,92636,2023-02-05,Note text 573
574,389013,2020-01-23,Note text 574
575,379936,2021-04-19,Note text 575
576,497225,2020-06-18,Note text 576
577,272749,2023-07-18,Note text 577
578,408274,2020-11-14,Note text 578
579,315179,2023-05-09,Note text 579
580,107008,2022-07-28,Note text 580
581,258290,2022-08-27,Note text 581
582,148714,2021-10-17,Note text 582
583,94857,2021-10-23,Note text 583
584,445554,2020-06-29,Note text 584
585,978,2022-08-24,Note text 585
586,379462,2022-06-09,Note text 586
587,55267,2021-10-18,Note text 587
588,199402,2021-12-22,Note text 588
589,168531,2021-07-03,Note text 589
590,125061,2021-10-05,Note text 590
591,218244,2020-08-07,Note text 591
592,36261,2020-10-01,Note text 592
593,444415,2022-03-13,Note text 593
594,301284,2021-04-09,Note text 594
595,57252,2023-05-16,Note text 595
596,379857,2022-08-31,Note text 596
597,323043,2023-03-22,Note text 597
598,359121,2021-10-26,Note text 598
599,311399,2020-07-28,Note text 599
600,200830,2021-06-19,Note text 600
601,371819,2021-07-19,Note text 601
602,137173,2022-12-16,Note text 602
603,63502,2021-08-21,Note text 603
604,55773,2020-10-08,Note text 604
605,361334,2023-02-27,Note text 605
606,456681,2020-01-20,Note text 606
607,281423,2022-04-22,Note text 607
608,17921,2022-07-03,Note text 608
609,87342,2021-08-09,Note text 609
610,33489,2021-06-10,Note text 610
611,60759,2020-09-16,Note text 611
612,65041,2023-01-02,Note text 612
613,280675,2020-05-08,Note text 613
614,296473,2022-09-06,Note text 614
615,363996,2022-08-04,Note text 615
616,294979,2020-06-25,Note text 616
617,55979,2022-01-22,Note text 617
618,231353,2023-02-11,Note text 618
619,62577,2021-07-17,Note text 619
620,288251,2023-02-13,Note text 620
621,275198,2020-07-05,Note text 621
622,310211,2022-05-14,Note text 622
623,400060,2022-02-08,Note text 623
624,283454,2020-09-28,Note text 624
625,136651,2021-08-24,Note text 625
626,432892,2020-08-24,Note text 626
627,93501,2023-08-18,Note text 627
628,263695,2021-10-23,Note text 628
629,192994,2021-01-06,Note text 629
630,273329,2021-08-30,Note text 630
631,451463,2021-02-11,Note text 631
632,119999,2023-06-06,Note text 632
633,389482,2021-12-27,Note text 633
634,310065,2021-07-02,Note text 634
635,208538,2022-05-13,Note text 635
636,221477,2020-06-19,Note text 636
637,309918,2020-08-08,Note text 637
638,99309,2020-01-31,Note text 638
639,91435,2023-10-11,Note text 639
640,453839,2020-08-28,Note text 640
641,119081,2020-03-27,Note text 641
642,320824,2023-08-29,Note text 642
643,118681,2023-04-06,Note text 643
644,411848,2021-03-29,Note text 644
645,324588,2023-09-09,Note text 645
646,394236,2021-09-30,Note text 646
647,390176,2020-06-24,Note text 647
648,243096,2022-03-28,Note text 648
649,294994,2023-06-20,Note text 649
650,303189,2022-06-25,Note text 650
651,186249,2021-10-20,Note text 651
652,369473,2020-09-26,Note text 652
653,136288,2021-08-11,Note text 653
654,159552,2021-03-27,Note text 654
655,264567,2020-11-21,Note text 655
656,229091,2022-03-24,Note text 656
657,326711,2020-09-29,Note text 657
658,459784,2021-12-04,Note text 658
659,485297,2022-02-24,Note text 659
660,336960,2020-01-05,Note text 660
661,118378,2023-05-03,Note text 661
662,497858,2022-06-01,Note text 662
663,319464,2021-08-28,Note text 663
664,170928,2022-07-08,Note text 664
665,230828,2023-11-01,Note text 665
666,359096,2022-08-24,Note text 666
667,312462,2021-05-12,Note text 667
668,71721,2023-06-21,Note text 668
669,447650,2021-06-13,Note text 669
670,31678,2023-06-01,Note text 670
671,444351,2022-12-25,Note text 671
672,145814,2020-09-02,Note text 672
673,267259,2023-02-25,Note text 673
674,49204,2022-06-12,Note text 674
675,474305,2022-02-10,Note text 675
676,214088,2022-04-30,Note text 676
677,364491,2023-06-23,Note text 677
678,214318,2022-12-09,Note text 678
679,280361,2022-01-28,Note text 679
680,483250,2022-06-26,Note text 680
681,99838,2021-05-17,Note text 681
682,345407,2023-04-29,Note text 682
683,430192,2020-04-15,Note text 683
684,444708,2022-10-12,Note text 684
685,92453,2021-07-24,Note text 685
686,322715,2020-02-21,Note text 686
687,359723,2022-11-08,Note text 687
688,143901,2023-05-25,Note text 688
689,264923,2023-04-27,Note text 689
690,475185,2022-05-09,Note text 690
691,338871,2022-05-23,Note text 691
692,467280,2020-12-10,Note text 692
693,12058,2021-10-06,Note text 693
694,204961,2021-11-27,Note text 694
695,39450,2023-09-28,Note text 695
696,497027,2022-09-24,Note text 696
697,446246,2020-03-11,Note text 697
698,291991,2020-01-14,Note text 698
699,498277,2023-08-04,Note text 699
700,457736,2023-06-08,Note text 700
701,495684,2021-11-03,Note text 701
702,319286,2023-09-23,Note text 702
703,342554,2022-03-07,Note text 703
704,122893,2021-04-27,Note text 704
705,68132,2020-09-26,Note text 705
706,357284,2023-10-26,Note text 706
707,36557,2022-02-18,Note text 707
708,318610,2020-09-24,Note text 708
709,44610,2021-03-07,Note text 709
710,140183,2021-05-05,Note text 710
711,153143,2020-05-06,Note text 711
712,486601,2023-11-15,Note text 712
713,343237,2020-05-27,Note text 713
714,298468,2020-08-24,Note text 714
715,193501,2021-04-22,Note text 715
716,297474,2023-12-28,Note text 716
717,122743,2022-08-23,Note text 717
718,280682,2022-06-07,Note text 718
719,442510,2022-05-01,Note text 719
720,28376,2020-06-11,Note text 720
721,89729,2021-01-13,Note text 721
722,296327,2022-01-16,Note text 722
723,232699,2022-08-20,Note text 723
724,475368,2023-04-08,Note text 724
725,365154,2020-12-03,Note text 725
726,401958,2023-05-04,Note text 726
727,102931,2021-07-16,Note text 727
728,334245,2020-11-02,Note text 728
729,429529,2022-12-24,Note text 729
730,108065,2023-12-07,Note text 730
731,163848,2021-07-11,Note text 731
732,307857,2021-05-28,Note text 732
733,401640,2023-04-14,Note text 733
734,381522,2020-12-07,Note text 734
735,296651,2023-01-26,Note text 735
736,267626,2022-08-26,Note text 736
737,98209,2023-11-17,Note text 737
738,394729,2022-04-30,Note text 738
739,373960,2022-12-13,Note text 739
740,26050,2021-02-12,Note text 740
741,199104,2020-10-28,Note text 741
742,91060,2021-10-16,Note text 742
743,148700,2021-02-27,Note text 743
744,201138,2022-09-10,Note text 744
745,281687,2022-05-08,Note text 745
746,409579,2022-06-05,Note text 746
747,11056,2022-01-22,Note text 747
748,26643,2023-04-24,Note text 748
749,441797,2021-12-29,Note text 749
750,48923,2022-10-22,Note text 750
751,27350,2021-12-13,Note text 751
752,316772,2023-02-06,Note text 752
753,296411,2022-10-25,Note text 753
754,365204,2021-07-11,Note text 754
755,275558,2020-01-17,Note text 755
756,132804,2020-10-15,Note text 756
757,153990,2021-12-23,Note text 757
758,463776,2021-03-27,Note text 758
759,259528,2020-07-11,Note text 759
760,195006,2020-01-11,Note text 760
761,29707,2020-12-03,Note text 761
762,344034,2021-11-25,Note text 762
763,478988,2021-02-11,Note text 763
764,166147,2022-09-02,Note text 764
765,384568,2023-06-27,Note text 765
766,490017,2020-05-06,Note text 766
767,467963,2021-05-30,Note text 767
768,495959,2020-03-26,Note text 768
769,54241,2021-05-03,Note text 769
770,350809,2023-05-18,Note text 770
771,309082,2020-11-23,Note text 771
772,147544,2023-04-04,Note text 772
773,106912,2021-05-01,Note text 773
774,378076,2020-04-17,Note text 774
775,271688,2022-08-17,Note text 775
776,376322,2023-12-31,Note text 776
