interview_id,application_id,interview_round,interview_date,feedback
198,365926,1,2023-07-14,Average
199,424172,5,2021-11-20,Excellent
200,136779,4,2022-05-21,Excellent
201,291874,4,2023-04-04,Excellent
202,339406,4,2023-10-18,Good
203,35,2,2021-06-04,Excellent
204,215110,3,2022-09-17,Poor
205,378720,5,2022-03-14,Good
206,67547,1,2023-01-05,Poor
207,171060,5,2021-05-08,Average
208,435512,4,2020-05-30,Average
209,75052,1,2020-11-09,Good
210,356042,4,2020-07-24,Good
211,47215,5,2022-06-03,Good
212,283435,2,2020-06-21,Excellent
213,412863,3,2021-04-25,Excellent
214,144552,4,2021-11-20,Poor
215,492182,1,2022-02-16,Excellent
216,276850,2,2023-08-26,Good
217,57889,3,2021-09-09,Excellent
218,299703,2,2021-03-15,Good
219,80326,1,2021-03-12,Poor
220,422811,2,2023-04-19,Good
221,121982,4,2023-04-04,Poor
222,406276,5,2020-04-26,Poor
223,66766,3,2022-07-13,Good
224,250904,4,2021-01-05,Poor
225,88702,1,2021-12-26,Excellent
226,31773,1,2021-11-07,Good
227,442064,2,2022-04-04,Excellent
228,38701,5,2020-10-03,Poor
229,233102,1,2021-08-13,Excellent
230,400668,5,2022-11-08,Excellent
231,294024,4,2023-02-22,Good
232,145219,5,2022-04-05,Poor
233,259985,5,2020-04-06,Poor
234,202350,2,2022-06-21,Average
235,315555,2,2020-01-26,Good
236,159014,4,2021-07-24,Excellent
237,36261,2,2023-10-27,Excellent
238,462036,1,2020-09-17,Good
239,204251,3,2022-10-09,Poor
240,80550,4,2023-09-09,Good
241,211395,2,2020-01-04,Excellent
242,318862,5,2023-02-16,Average
243,352718,1,2022-11-23,Poor
244,36506,1,2020-04-22,Poor
245,75015,3,2020-09-25,Excellent
246,392766,3,2022-12-25,Average
247,360884,5,2023-04-24,Excellent
248,404818,4,2021-05-17,Average
249,239765,2,2021-10-21,Average
250,371311,1,2023-04-17,Excellent
251,134848,5,2020-12-11,Poor
252,25768,1,2021-09-09,Poor
253,181186,3,2020-09-15,Good
254,473254,4,2023-10-06,Good
255,143944,1,2023-09-12,Average
256,254426,1,2021-11-08,Average
257,237165,5,2020-10-02,Excellent
258,8192,5,2020-02-19,Excellent
259,261612,2,2022-10-29,Excellent
260,464417,3,2022-06-29,Poor
261,215942,5,2022-07-07,Excellent
262,471290,1,2021-11-13,Excellent
263,174256,2,2022-10-14,Good
264,261788,5,2022-04-29,Average
265,442010,1,2022-09-29,Average
266,103426,5,2022-12-06,Good
267,428985,1,2023-11-10,Poor
268,384126,4,2023-05-23,Good
269,146530,1,2022-07-28,Good
270,215844,3,2023-11-17,Good
271,320725,5,2023-08-23,Average
272,252735,1,2022-10-02,Average
273,422169,5,2020-03-27,Average
274,354016,2,2020-05-16,Poor
275,297487,5,2020-08-12,Poor
276,135680,5,2022-01-14,Excellent
277,200493,4,2020-04-25,Excellent
278,223378,4,2021-07-31,Average
279,499560,2,2022-04-14,Poor
280,12376,5,2020-08-24,Poor
281,215498,3,2022-04-10,Poor
282,336185,1,2023-07-29,Excellent
283,181670,4,2022-05-06,Poor
284,90994,5,2023-03-01,Good
285,207133,5,2021-08-19,Excellent
286,335948,1,2021-06-02,Excellent
287,68866,2,2020-02-18,Good
288,44749,3,2022-02-13,Average
289,82440,2,2023-10-11,Average
290,419206,3,2020-04-27,Poor
291,331909,3,2023-11-27,Average
292,156245,1,2022-01-03,Poor
293,20937,5,2020-02-26,Poor
294,54394,5,2021-01-04,Average
295,64104,3,2020-11-06,Good
296,279828,1,2023-03-28,Poor
297,359652,4,2022-07-25,Excellent
298,395927,3,2021-09-30,Excellent
299,77601,1,2022-07-13,Average
300,382748,4,2020-05-03,Poor
301,249991,4,2022-05-29,Poor
302,216263,5,2023-07-22,Excellent
303,168671,5,2022-05-13,Poor
304,306833,1,2020-11-17,Average
305,214274,3,2020-09-30,Poor
306,287123,3,2020-12-08,Average
307,221203,5,2020-09-03,Average
308,90518,1,2020-03-07,Excellent
309,374608,2,2022-11-30,Poor
310,236482,2,2021-04-17,Excellent
311,74234,2,2022-07-26,Good
312,316289,2,2023-05-14,Average
313,496541,3,2022-09-21,Poor
314,179556,4,2023-02-23,Good
315,45109,3,2021-10-01,Average
316,449853,2,2023-04-26,Average
317,20364,3,2022-03-08,Average
318,277902,3,2022-09-26,Good
319,257264,3,2021-05-22,Poor
320,184737,5,2023-08-10,Poor
321,266063,4,2021-02-23,Excellent
322,92479,5,2020-06-03,Good
323,391802,4,2021-10-04,Good
324,106297,1,2020-03-08,Poor
325,82498,3,2021-10-11,Excellent
326,416940,4,2023-10-31,Excellent
327,135842,3,2022-03-10,Average
328,169442,3,2022-11-27,Excellent
329,398608,3,2020-09-15,Good
330,35844,2,2020-01-31,Good
331,241026,4,2021-03-11,Poor
332,173374,4,2023-09-10,Excellent
333,9887,4,2022-11-13,Poor
334,170822,4,2022-05-29,Poor
335,136841,1,2022-08-24,Excellent
336,467933,4,2021-08-16,Average
337,273934,1,2020-05-14,Excellent
338,241533,5,2020-05-08,Average
339,494490,4,2023-09-12,Excellent
340,392431,2,2023-07-27,Poor
341,308072,5,2022-12-06,Good
342,105088,1,2021-10-09,Excellent
343,209381,5,2021-09-13,Good
344,494999,4,2021-02-18,Good
345,126312,2,2023-05-14,Poor
346,454674,4,2021-09-29,Poor
347,2354,3,2023-07-14,Average
348,408205,2,2022-07-29,Good
349,352951,3,2023-04-19,Excellent
350,249948,3,2021-08-25,Good
351,270526,4,2022-06-20,Average
352,18903,2,2023-12-07,Good
353,378386,3,2022-06-21,Average
354,100087,5,2021-01-07,Poor
355,344861,2,2023-01-05,Poor
356,150286,3,2023-11-10,Excellent
357,459757,5,2021-01-03,Excellent
358,414657,5,2023-08-30,Average
359,340557,4,2023-12-31,Average
360,256930,1,2020-03-26,Excellent
361,125630,5,2021-08-21,Excellent
362,109864,4,2020-04-28,Good
363,309084,3,2022-08-25,Good
364,321752,1,2022-02-01,Good
365,178000,1,2022-08-28,Average
366,8101,4,2020-07-15,Excellent
367,109360,1,2020-08-06,Poor
368,392412,2,2021-01-05,Average
369,246214,4,2020-11-17,Excellent
370,161174,4,2022-06-20,Poor
371,492987,5,2022-08-24,Excellent
372,53077,2,2022-06-17,Average
373,25955,1,2022-09-08,Poor
374,10783,4,2023-05-30,Good
375,53033,4,2020-06-07,Poor
376,441838,4,2022-12-06,Good
377,102234,5,2021-02-16,Good
378,156425,3,2023-09-25,Average
379,192477,4,2021-11-27,Poor
380,79990,5,2020-04-24,Poor
381,13133,1,2022-11-21,Excellent
382,238186,5,2022-09-25,Excellent
383,299097,5,2021-07-30,Good
384,386292,4,2023-03-03,Excellent
385,59574,2,2021-03-05,Poor
386,371669,5,2023-08-25,Excellent
387,419905,1,2022-08-08,Excellent
388,329824,1,2021-04-22,Average
389,216452,4,2022-09-30,Good
390,45942,2,2023-04-14,Excellent
391,106919,4,2021-12-10,Excellent
392,137005,3,2023-07-24,Excellent
393,332270,4,2022-09-21,Poor
394,416360,4,2021-04-01,Good
395,485688,5,2020-09-11,Good
396,58520,3,2023-08-30,Good
397,491697,3,2022-10-16,Poor
398,394149,2,2021-08-07,Good
399,164793,3,2022-09-03,Average
400,86751,1,2020-02-16,Excellent
401,350525,4,2022-02-21,Good
402,126242,5,2020-08-19,Good
403,249203,2,2020-06-22,Average
404,324503,5,2020-10-20,Good
405,8926,3,2023-02-19,Excellent
406,59233,1,2022-06-18,Poor
407,315652,2,2020-01-09,Excellent
408,492400,3,2020-09-14,Poor
409,470061,5,2022-02-08,Average
410,68463,1,2023-11-26,Excellent
411,199746,4,2020-12-26,Poor
412,105953,1,2023-03-28,Good
413,477453,5,2020-03-08,Poor
414,175880,5,2022-09-06,Poor
415,68237,3,2021-12-31,Average
416,111514,5,2023-12-15,Average
417,442375,3,2020-07-31,Good
418,458402,3,2023-12-14,Good
419,170235,4,2022-10-28,Average
420,441352,1,2023-06-26,Good
421,85471,3,2021-09-14,Poor
422,120154,4,2023-09-03,Excellent
423,316276,1,2023-02-11,Excellent
424,235945,4,2023-08-07,Poor
425,444764,3,2022-02-19,Excellent
426,378662,1,2023-09-19,Good
427,490284,1,2023-06-28,Poor
428,128388,3,2020-04-10,Average
429,15821,1,2020-08-06,Good
430,296265,5,2020-06-27,Excellent
431,338265,3,2020-04-20,Good
432,420888,4,2023-03-20,Poor
433,366427,1,2023-01-12,Excellent
434,489680,2,2021-12-18,Good
435,177991,5,2022-12-21,Good
436,167129,1,2020-03-26,Average
437,62460,5,2023-07-19,Excellent
438,465417,4,2021-06-03,Good
439,65315,4,2020-01-12,Average
440,198662,2,2022-02-04,Poor
441,130514,3,2023-11-27,Excellent
442,223248,5,2023-03-16,Average
443,87860,5,2021-11-09,Poor
444,442759,5,2022-01-30,Good
445,241023,1,2022-05-28,Average
446,202884,1,2021-12-29,Poor
447,279998,4,2020-02-16,Good
448,257336,1,2021-05-01,Poor
449,332819,5,2021-11-05,Good
450,41956,2,2021-03-31,Poor
451,259288,5,2023-07-13,Average
452,105121,2,2022-06-28,Excellent
453,123620,2,2023-10-15,Average
454,154028,4,2022-01-31,Excellent
455,226368,1,2022-07-02,Good
456,396471,1,2022-05-03,Average
457,313749,4,2020-09-30,Good
458,283938,3,2022-08-06,Good
459,318118,4,2022-04-29,Average
460,261105,3,2023-03-15,Good
461,104860,5,2023-06-06,Poor
462,312987,4,2023-02-16,Poor
463,403633,5,2021-12-03,Poor
464,399144,2,2021-11-18,Excellent
465,128772,1,2022-09-28,Average
466,237980,3,2020-01-21,Average
467,89694,1,2020-07-28,Average
468,107487,1,2022-01-15,Good
469,338264,5,2020-06-22,Good
470,329141,4,2022-09-07,Poor
471,56128,3,2021-10-09,Poor
472,125876,4,2023-08-17,Good
473,134992,3,2022-05-23,Poor
474,144631,1,2021-10-31,Good
475,375260,2,2021-02-27,Good
476,318499,4,2020-10-28,Poor
477,155338,1,2022-11-02,Average
478,325474,3,2023-08-22,Good
479,491939,5,2021-12-31,Poor
480,164559,3,2020-02-13,Excellent
481,242830,2,2020-01-09,Poor
482,326181,3,2022-04-19,Excellent
483,139527,2,2021-03-15,Poor
484,91200,2,2022-04-17,Excellent
485,26353,3,2020-05-24,Good
486,159824,5,2023-12-15,Poor
487,323382,2,2023-09-22,Excellent
488,126770,3,2020-09-25,Excellent
489,413559,4,2023-03-24,Average
490,34475,4,2020-06-02,Good
491,5796,4,2021-03-13,Excellent
492,25403,5,2020-01-05,Good
493,438959,1,2022-08-22,Good
494,414592,4,2022-04-12,Poor
495,442194,3,2021-12-17,Excellent
496,312170,2,2022-06-14,Excellent
497,407915,2,2021-02-04,Poor
498,230062,2,2021-12-02,Good
499,403622,3,2023-05-26,Good
500,230140,3,2022-09-01,Good
501,272541,2,2021-08-15,Excellent
502,309666,5,2020-05-23,Excellent
503,273783,5,2023-12-09,Poor
504,307731,4,2021-11-01,Good
505,172933,4,2023-05-31,Poor
506,351974,2,2020-09-08,Good
507,315351,2,2021-11-23,Average
508,207029,2,2020-02-03,Good
509,335325,4,2023-05-28,Excellent
510,442061,1,2023-08-25,Good
511,134839,2,2020-05-12,Average
512,441360,2,2020-09-17,Excellent
513,358876,1,2021-06-12,Excellent
514,377717,2,2021-06-14,Good
515,497423,1,2020-08-28,Excellent
516,262770,1,2022-07-11,Good
517,149431,1,2023-09-22,Excellent
518,106775,1,2023-03-20,Excellent
519,486948,2,2023-05-29,Good
520,410065,2,2023-10-26,Average
521,60993,2,2020-08-29,Good
522,182062,2,2022-04-06,Average
523,434885,3,2023-12-11,Excellent
524,70641,1,2020-10-23,Good
525,42590,3,2023-02-08,Excellent
526,375647,2,2023-04-20,Good
527,253641,1,2020-01-01,Excellent
528,131267,1,2021-01-02,Good
529,247300,3,2023-02-07,Excellent
530,95844,2,2021-03-10,Average
531,258031,4,2022-03-03,Poor
532,59265,5,2022-01-08,Good
533,287259,1,2020-06-05,Good
534,373387,3,2020-08-21,Excellent
535,176710,2,2023-10-10,Excellent
536,104471,1,2022-04-05,Good
537,472370,2,2021-05-04,Poor
538,59334,4,2022-09-10,Average
539,295388,2,2023-07-07,Good
540,311293,5,2020-12-23,Excellent
541,95778,4,2021-10-08,Excellent
542,95559,1,2020-03-29,Excellent
543,380145,5,2020-07-03,Good
544,484714,5,2020-04-05,Average
545,455913,2,2020-03-29,Excellent
546,343278,5,2020-04-05,Good
547,351930,3,2021-04-24,Good
548,55784,4,2022-11-01,Poor
549,366588,4,2021-09-07,Good
550,215392,3,2021-06-03,Poor
551,163619,3,2021-01-12,Excellent
552,307670,3,2020-07-25,Average
553,291776,1,2021-05-04,Excellent
554,472611,4,2023-04-14,Good
555,387242,4,2020-01-12,Good
556,269655,4,2022-03-02,Poor
557,204591,1,2021-09-01,Average
558,199384,1,2021-11-22,Excellent
559,316367,3,2023-01-22,Good
560,427485,2,2023-02-13,Excellent
561,131344,1,2023-05-22,Good
562,229328,2,2023-08-10,Poor
563,375322,3,2020-05-30,Poor
564,366904,4,2021-01-27,Poor
565,65420,3,2021-02-05,Good
566,497628,1,2023-05-15,Poor
567,421102,5,2021-01-26,Average
568,421692,5,2021-10-20,Good
569,28165,5,2023-02-22,Good
570,307252,4,2022-05-02,Average
571,363067,1,2022-06-12,Excellent
572,197521,2,2023-04-07,Excellent
573,311397,2,2020-09-17,Poor
574,318327,2,2021-08-19,Average
575,355540,4,2022-10-22,Average
576,60323,4,2022-03-07,Average
577,191097,2,2023-02-17,Average
578,283682,4,2023-02-27,Good
579,231886,4,2020-10-23,Good
580,410832,5,2020-04-27,Excellent
581,190085,1,2021-03-10,Good
582,6161,3,2020-02-03,Good
583,163221,3,2022-10-28,Average
584,15732,4,2021-04-08,Poor
585,367647,3,2022-09-25,Good
586,403239,1,2023-10-07,Excellent
587,184511,1,2023-09-19,Average
588,164850,4,2023-10-21,Average
589,295518,1,2023-06-13,Good
590,192766,1,2020-10-15,Good
591,473775,1,2021-02-27,Excellent
592,488463,5,2020-07-08,Good
593,215446,4,2022-10-16,Excellent
594,331298,4,2021-07-15,Good
595,257065,1,2021-03-18,Excellent
596,37469,1,2021-02-20,Excellent
597,478909,1,2020-09-29,Good
598,441630,2,2020-03-04,Poor
599,370994,4,2023-02-22,Average
600,76207,3,2021-11-14,Good
601,459238,1,2020-09-23,Good
602,81387,2,2020-01-02,Good
603,168646,3,2023-08-17,Poor
604,286279,4,2021-04-02,Average
605,159884,5,2023-05-26,Average
606,35327,3,2020-12-28,Excellent
607,197509,1,2021-04-15,Excellent
608,88579,2,2021-09-14,Excellent
609,462482,5,2020-01-12,Average
610,362908,5,2022-08-12,Poor
611,183107,2,2021-06-26,Good
612,240276,1,2020-01-27,Good
613,141814,2,2021-10-30,Poor
614,382798,4,2023-06-22,Average
615,86204,3,2023-10-10,Poor
616,89400,1,2022-08-24,Good
617,205619,2,2022-07-07,Average
618,192331,1,2023-05-10,Average
619,288457,1,2022-04-09,Poor
620,345837,1,2022-05-10,Poor
621,260252,2,2022-04-01,Good
622,433401,3,2020-06-27,Good
623,290529,2,2021-12-11,Average
624,238690,1,2020-07-04,Excellent
625,445755,3,2023-04-29,Poor
626,305578,4,2022-04-08,Poor
627,445420,4,2020-01-22,Excellent
628,481233,3,2023-05-09,Average
629,15588,5,2020-12-15,Good
630,123813,2,2020-06-29,Excellent
631,165721,2,2022-04-02,Poor
632,67908,5,2023-03-30,Poor
633,173528,2,2022-10-27,Average
634,377773,3,2020-07-05,Good
635,5050,2,2023-02-22,Poor
636,166729,4,2021-12-08,Excellent
637,283267,2,2021-02-23,Good
638,169859,4,2022-09-07,Average
639,482168,5,2021-10-05,Poor
640,86068,4,2020-08-06,Good
641,470371,1,2023-12-03,Excellent
642,59410,1,2022-07-18,Excellent
643,369091,5,2023-02-23,Excellent
644,61916,1,2023-04-07,Poor
645,160375,3,2022-03-27,Good
646,249985,5,2021-06-11,Poor
647,467397,3,2021-04-01,Good
648,293753,4,2022-05-15,Excellent
649,168623,4,2023-04-18,Good
650,318016,2,2020-03-16,Good
651,412971,3,2023-09-27,Good
652,261422,5,2023-11-17,Average
653,393806,4,2023-05-19,Excellent
654,384577,2,2023-08-16,Poor
655,477687,1,2022-02-08,Average
656,83645,5,2022-11-01,Good
657,440180,3,2023-06-18,Poor
658,123780,2,2021-05-17,Average
659,50101,2,2023-05-12,Poor
660,130499,4,2022-01-05,Good
661,56323,1,2020-01-07,Good
662,233220,3,2021-06-04,Poor
663,232415,4,2021-04-06,Average
664,315448,1,2022-03-14,Good
665,252612,5,2023-08-19,Average
666,304546,4,2021-02-13,Average
667,27999,4,2020-11-20,Good
668,400955,3,2021-05-12,Excellent
669,6458,1,2023-08-17,Excellent
670,7463,3,2022-11-20,Excellent
671,348418,2,2021-06-02,Excellent
672,92802,4,2021-03-17,Average
673,59707,1,2023-09-12,Poor
674,388070,3,2021-10-09,Good
675,70425,5,2022-07-06,Excellent
676,169067,2,2023-09-20,Excellent
677,171390,3,2021-09-02,Excellent
678,117569,5,2023-01-03,Average
679,79698,4,2021-01-11,Average
680,182144,1,2023-09-09,Good
681,264260,3,2023-03-18,Poor
682,176336,2,2021-01-11,Poor
683,478118,3,2020-10-14,Excellent
684,342988,5,2022-10-14,Good
685,454869,5,2023-01-31,Excellent
686,431176,1,2021-11-08,Good
687,496830,1,2023-12-16,Excellent
688,81351,4,2020-01-14,Average
689,9112,1,2020-01-06,Good
690,238807,3,2023-06-21,Average
691,253141,2,2023-11-03,Average
692,310381,2,2020-06-21,Good
693,287500,5,2023-05-13,Average
694,28066,5,2021-04-28,Good
695,498459,4,2022-07-23,Average
696,417769,1,2022-11-11,Poor
697,431617,3,2022-01-04,Good
698,160871,2,2023-11-24,Good
699,90352,3,2020-10-02,Good
700,138262,5,2020-07-23,Excellent
701,387826,3,2023-03-30,Excellent
702,418794,4,2020-03-06,Average
703,3033,4,2023-12-08,Average
704,282410,4,2020-07-23,Excellent
705,399115,1,2023-04-19,Poor
706,110839,3,2021-06-30,Average
707,131032,5,2020-04-01,Average
708,298091,2,2020-06-02,Poor
709,252276,2,2020-07-21,Average
710,474585,2,2020-12-24,Average
711,44328,1,2021-08-10,Poor
712,187328,4,2022-06-20,Average
713,244213,4,2022-01-05,Excellent
714,425532,3,2021-10-02,Poor
715,224577,1,2021-07-16,Excellent
716,219474,2,2023-06-13,Average
717,257342,3,2023-03-26,Poor
718,22489,5,2023-09-17,Good
719,151981,1,2020-03-26,Good
720,145324,3,2020-05-31,Good
721,416974,2,2021-10-10,Poor
722,199367,5,2020-01-24,Poor
723,60797,4,2021-06-27,Good
724,499068,2,2021-07-21,Excellent
725,145143,3,2021-04-03,Excellent
726,167111,3,2022-09-14,Poor
727,494351,5,2020-02-20,Excellent
728,407466,1,2022-07-07,Excellent
729,329573,4,2022-09-25,Excellent
730,21709,4,2021-11-10,Excellent
731,477380,5,2023-09-30,Excellent
732,325549,5,2020-08-03,Poor
733,305358,4,2020-07-24,Average
734,222593,3,2020-03-28,Good
735,45699,4,2020-03-02,Excellent
736,402509,1,2021-02-22,Average
737,205150,1,2022-06-08,Average
738,460422,4,2020-09-04,Poor
739,422453,2,2023-06-12,Average
740,148323,4,2021-02-17,Good
741,316951,5,2020-02-15,Good
742,333628,2,2020-11-17,Poor
743,353808,2,2021-01-13,Average
744,499088,3,2020-04-23,Good
745,13376,5,2022-06-29,Excellent
746,384083,4,2022-03-25,Excellent
747,309859,1,2022-04-10,Average
748,259458,5,2020-01-15,Excellent
749,449298,3,2023-01-29,Poor
750,477220,5,2023-03-25,Poor
751,215021,5,2022-08-26,Poor
752,495236,3,2023-07-30,Excellent
753,311137,5,2020-02-25,Poor
754,204570,3,2022-08-11,Average
755,1568,5,2022-01-14,Excellent
756,84684,3,2021-12-01,Poor
757,392149,2,2023-01-12,Poor
758,23749,5,2021-07-24,Excellent
759,77507,4,2023-07-04,Average
760,392009,5,2021-05-19,Poor
761,263241,5,2023-10-11,Poor
762,110486,3,2021-12-14,Excellent
763,85269,1,2020-11-21,Good
764,92795,5,2020-12-08,Poor
765,431234,5,2023-06-30,Poor
766,134627,3,2022-03-29,Good
767,72348,4,2023-02-14,Good
768,125780,3,2020-05-15,Excellent
769,6999,4,2020-03-23,Average
770,110858,1,2022-05-12,Excellent
771,310360,3,2020-06-12,Poor
772,22886,3,2021-03-01,Good
773,218231,2,2023-08-29,Poor
774,105102,3,2021-07-04,Average
775,68687,1,2022-02-01,Average
776,224060,2,2022-07-25,Poor
777,265923,5,2020-01-26,Poor
778,253872,1,2021-11-21,Excellent
779,290206,3,2022-08-03,Good
780,331772,2,2020-12-02,Excellent
781,305222,5,2022-02-11,Excellent
782,359456,4,2020-12-03,Excellent
783,112718,3,2022-08-18,Good
784,62351,1,2021-02-01,Average
785,229113,5,2020-01-20,Average
